company,model,drivetrain,class,seat,price_raw,range_raw,efficiency,weight,zero_to_sixty,one_stop_range,battery,rapidcharge,towing,boot_space,price_range
Fisker,Ocean Ultra,All Wheel Drive,D,5,"£50,900",310 mi,344 Wh/mi,"2,526 kg",4.2 sec,334 mi,106.5 kWh,135 kW,"1,820 kg",476 L,£164 /mi
Porsche,Taycan Sport Turismo,Rear Wheel Drive,F,5,"£87,300",285 mi,289 Wh/mi,"2,190 kg",4.8 sec,353 mi,82.3 kWh,195 kW,0 kg,530 L,£306 /mi
Porsche,Taycan Turbo S Cross Turismo,All Wheel Drive,F,5,"£162,500",300 mi,323 Wh/mi,"2,400 kg",2.5 sec,385 mi,97.0 kWh,262 kW,0 kg,489 L,£542 /mi
Volkswagen,ID.7 GTX(MY24-25),All Wheel Drive,E,5,"£61,980",310 mi,277 Wh/mi,"2,325 kg",5.4 sec,355 mi,86.0 kWh,145 kW,"1,200 kg",532 L,£200 /mi
Peugeot,e-408 58 kWh,Front Wheel Drive,C,5,"£35,560",215 mi,271 Wh/mi,"1,879 kg",7.2 sec,226 mi,58.3 kWh,70 kW,0 kg,471 L,£165 /mi
Ford,Mustang Mach-E Premium AWD(MY25),All Wheel Drive,D,5,"£65,415",270 mi,326 Wh/mi,"2,245 kg",4.8 sec,274 mi,88.0 kWh,105 kW,"1,500 kg",619 L,£242 /mi
Peugeot,e-208 51 kWh(MY25),Front Wheel Drive,B,5,"£28,650",180 mi,257 Wh/mi,"1,530 kg",9.0 sec,199 mi,46.3 kWh,78 kW,0 kg,309 L,£159 /mi
Lexus,RZ 500e(MY26),All Wheel Drive,D,5,"£58,595",245 mi,294 Wh/mi,"2,100 kg",4.6 sec,268 mi,72.0 kWh,110 kW,"1,500 kg",522 L,£239 /mi
Porsche,Taycan 4S Plus,All Wheel Drive,F,5,"£90,406",285 mi,294 Wh/mi,"2,295 kg",4.0 sec,365 mi,83.7 kWh,216 kW,0 kg,491 L,£317 /mi
Citroën,ë-Berlingo M 50 kWh,Front Wheel Drive,N,5,"£32,315",130 mi,356 Wh/mi,"1,739 kg",11.7 sec,137 mi,46.3 kWh,78 kW,750 kg,571 L,£249 /mi
Ford,Mustang Mach-E ER AWD(MY23),All Wheel Drive,D,5,"£65,405",275 mi,331 Wh/mi,"2,257 kg",5.8 sec,255 mi,91.0 kWh,86 kW,"1,500 kg",619 L,£238 /mi
Volkswagen,ID.3 Pro S,Rear Wheel Drive,C,4,"£47,990",280 mi,275 Wh/mi,"1,933 kg",7.9 sec,310 mi,77.0 kWh,120 kW,0 kg,385 L,£171 /mi
Volkswagen,ID.5 GTX(MY24-25),All Wheel Drive,C,5,"£55,365",265 mi,291 Wh/mi,"2,242 kg",5.5 sec,296 mi,77.0 kWh,120 kW,"1,200 kg",549 L,£209 /mi
Mercedes-Benz,EQS SUV 580 4MATIC,All Wheel Drive,F,7,"£139,470",325 mi,363 Wh/mi,"2,845 kg",4.7 sec,337 mi,118.0 kWh,160 kW,"1,800 kg",645 L,£429 /mi
Porsche,Taycan 4S Plus,All Wheel Drive,F,5,"£100,196",350 mi,277 Wh/mi,"2,325 kg",3.7 sec,458 mi,97.0 kWh,262 kW,0 kg,491 L,£286 /mi
Peugeot,e-Traveller Long 75 kWh,Front Wheel Drive,N,9,"£48,395",160 mi,431 Wh/mi,"2,240 kg",14.2 sec,157 mi,69.0 kWh,79 kW,"1,000 kg",989 L,£302 /mi
Citroën,ë-C4 X,Front Wheel Drive,C,5,"£27,215",180 mi,257 Wh/mi,"1,659 kg",9.9 sec,197 mi,46.3 kWh,78 kW,0 kg,510 L,£151 /mi
Vauxhall,Grandland Electric 73 kWh AWD,All Wheel Drive,C,5,"£37,005",220 mi,332 Wh/mi,"2,325 kg",6.1 sec,231 mi,73.0 kWh,90 kW,"1,350 kg",485 L,£168 /mi
Genesis,GV60 Sport(MY25),All Wheel Drive,C,5,"£58,515",255 mi,314 Wh/mi,"2,200 kg",5.5 sec,319 mi,80.0 kWh,205 kW,"1,600 kg",432 L,£229 /mi
Porsche,Macan GTS Electric(MY26),All Wheel Drive,D,5,"£89,000",285 mi,333 Wh/mi,"2,470 kg",3.8 sec,338 mi,95.0 kWh,200 kW,unknown,560 L,£312 /mi
