company,model,drivetrain,class,seat,price_raw,range_raw,efficiency,weight,zero_to_sixty,one_stop_range,battery,rapidcharge,towing,boot_space,price_range
Tesla,Model 3 Long Range RWD(Highland),Rear Wheel Drive,D,5,"£44,990",360 mi,219 Wh/mi,"1,822 kg",5.2 sec,428 mi,79.0 kWh,120 kW,"1,000 kg",682 L,£125 /mi
Mercedes-Benz,CLA 250+,Rear Wheel Drive,D,5,"£45,615",360 mi,236 Wh/mi,"2,055 kg",6.7 sec,474 mi,85.0 kWh,235 kW,"1,500 kg",506 L,£127 /mi
MG,MG4 EV Long Range,Rear Wheel Drive,C,5,"£29,495",225 mi,274 Wh/mi,"1,726 kg",7.9 sec,252 mi,61.7 kWh,115 kW,500 kg,363 L,£131 /mi
Ford,Puma Gen-E,Front Wheel Drive,B,5,"£26,245",170 mi,256 Wh/mi,"1,563 kg",8.0 sec,194 mi,43.6 kWh,85 kW,750 kg,566 L,£154 /mi
Tesla,Model Y Long Range RWD(Juniper),Rear Wheel Drive,D,5,"£48,990",290 mi,259 Wh/mi,"1,976 kg",5.6 sec,343 mi,75.0 kWh,124 kW,"1,600 kg",971 L,£169 /mi
BMW,iX3 50 xDrive(MY26),All Wheel Drive,D,5,"£58,755",375 mi,290 Wh/mi,"2,360 kg",4.9 sec,461 mi,108.7 kWh,225 kW,"2,000 kg",578 L,£157 /mi
Jaecoo,5 EV,Front Wheel Drive,C,5,"£27,505",200 mi,295 Wh/mi,"1,765 kg",7.7 sec,212 mi,58.9 kWh,80 kW,0 kg,480 L,£138 /mi
Renault,5 E-Tech 52kWh 150hp,Front Wheel Drive,B,5,"£25,495",205 mi,254 Wh/mi,"1,504 kg",8.0 sec,216 mi,52.0 kWh,70 kW,500 kg,326 L,£124 /mi
Kia,EV3 Long Range,Front Wheel Drive,B,5,"£35,995",280 mi,279 Wh/mi,"1,885 kg",7.7 sec,293 mi,78.0 kWh,105 kW,"1,000 kg",485 L,£129 /mi
Kia,Niro EV,Front Wheel Drive,C,5,"£37,295",240 mi,270 Wh/mi,"1,757 kg",7.8 sec,227 mi,64.8 kWh,70 kW,750 kg,495 L,£155 /mi
Tesla,Model 3 RWD(Highland CATL LFP64),Rear Wheel Drive,D,5,"£39,990",270 mi,222 Wh/mi,"1,836 kg",6.1 sec,323 mi,60.0 kWh,110 kW,"1,000 kg",682 L,£148 /mi
Tesla,Model 3 Long Range RWD(Highland),Rear Wheel Drive,D,5,"£44,990",340 mi,221 Wh/mi,"1,822 kg",5.2 sec,407 mi,75.0 kWh,124 kW,"1,000 kg",682 L,£132 /mi
MG,MGS5 EV Long Range,Rear Wheel Drive,C,5,"£30,995",225 mi,276 Wh/mi,"1,755 kg",6.3 sec,240 mi,62.1 kWh,90 kW,750 kg,453 L,£138 /mi
Škoda,Elroq 85(MY25),Rear Wheel Drive,C,5,"£34,060",280 mi,275 Wh/mi,"2,115 kg",6.6 sec,306 mi,77.0 kWh,120 kW,"1,000 kg",470 L,£122 /mi
Hyundai,Kona Electric 65 kWh,Front Wheel Drive,B,5,"£38,595",240 mi,273 Wh/mi,"1,773 kg",7.8 sec,243 mi,65.4 kWh,86 kW,750 kg,493 L,£161 /mi
MG,MG4 EV Standard Range,Rear Wheel Drive,C,5,"£26,995",185 mi,275 Wh/mi,"1,710 kg",7.7 sec,190 mi,50.8 kWh,68 kW,500 kg,363 L,£146 /mi
BYD,SEAL 82.5 kWh AWD Excellence,All Wheel Drive,D,5,"£48,695",275 mi,300 Wh/mi,"2,260 kg",3.8 sec,293 mi,82.5 kWh,100 kW,"1,500 kg",453 L,£177 /mi
Tesla,Model Y Long Range AWD,All Wheel Drive,D,7,"£51,990",275 mi,273 Wh/mi,"2,054 kg",5.0 sec,326 mi,75.0 kWh,124 kW,"1,600 kg",971 L,£189 /mi
MG,IM5 Long Range,Rear Wheel Drive,D,5,"£44,995",330 mi,292 Wh/mi,"2,210 kg",4.9 sec,421 mi,96.5 kWh,250 kW,unknown,475 L,£136 /mi
MG,MG4 EV Extended Range,Rear Wheel Drive,C,5,"£36,495",265 mi,281 Wh/mi,"1,826 kg",6.5 sec,282 mi,74.4 kWh,110 kW,500 kg,363 L,£138 /mi
Škoda,Enyaq 85(MY25),Rear Wheel Drive,C,5,"£42,810",285 mi,270 Wh/mi,"2,141 kg",6.7 sec,296 mi,77.0 kWh,120 kW,"1,000 kg",585 L,£150 /mi
Renault,Scenic E-Tech 220hp Long Range(TU2025),Front Wheel Drive,C,5,"£35,495",300 mi,290 Wh/mi,"1,917 kg",7.9 sec,299 mi,87.0 kWh,95 kW,"1,100 kg",545 L,£118 /mi
Kia,EV3 Standard Range,Front Wheel Drive,B,5,"£32,995",200 mi,275 Wh/mi,"1,800 kg",7.5 sec,212 mi,55.0 kWh,80 kW,500 kg,485 L,£165 /mi
Mercedes-Benz,EQA 250+,Front Wheel Drive,C,5,"£49,750",260 mi,271 Wh/mi,"2,050 kg",8.6 sec,257 mi,70.5 kWh,90 kW,"1,500 kg",340 L,£191 /mi
Tesla,Model Y RWD(Juniper),Rear Wheel Drive,D,5,"£44,990",230 mi,261 Wh/mi,"2,003 kg",5.9 sec,272 mi,60.0 kWh,110 kW,"1,600 kg",971 L,£196 /mi
BYD,SEALION 7 82.5 kWh RWD Comfort,Rear Wheel Drive,D,5,"£46,990",260 mi,317 Wh/mi,"2,300 kg",6.7 sec,273 mi,82.5 kWh,115 kW,750 kg,578 L,£181 /mi
MG,ZS EV Long Range,Front Wheel Drive,B,5,"£32,995",230 mi,297 Wh/mi,"1,695 kg",8.4 sec,219 mi,68.3 kWh,82 kW,500 kg,448 L,£143 /mi
Tesla,Model Y Long Range AWD(Juniper),All Wheel Drive,D,5,"£51,990",295 mi,268 Wh/mi,"2,072 kg",4.8 sec,345 mi,79.0 kWh,120 kW,"1,600 kg",971 L,£176 /mi
Škoda,Enyaq 85(MY24),Rear Wheel Drive,C,5,"£44,540",280 mi,275 Wh/mi,"2,137 kg",6.7 sec,290 mi,77.0 kWh,120 kW,"1,000 kg",585 L,£159 /mi
Tesla,Model 3 Long Range AWD(Highland),All Wheel Drive,D,5,"£49,990",345 mi,229 Wh/mi,"1,899 kg",4.4 sec,406 mi,79.0 kWh,120 kW,"1,000 kg",682 L,£145 /mi
Citroën,C5 Aircross Long Range,Front Wheel Drive,C,5,"£32,935",300 mi,323 Wh/mi,"2,246 kg",8.8 sec,306 mi,96.9 kWh,130 kW,"1,200 kg",565 L,£110 /mi
Hyundai,Kona Electric 64 kWh,Front Wheel Drive,B,5,"£37,750",240 mi,267 Wh/mi,"1,760 kg",7.9 sec,226 mi,64.0 kWh,64 kW,300 kg,332 L,£157 /mi
Tesla,Model Y Long Range AWD(Juniper),All Wheel Drive,D,5,"£51,990",280 mi,268 Wh/mi,"2,072 kg",4.8 sec,332 mi,75.0 kWh,124 kW,"1,600 kg",971 L,£186 /mi
Omoda,E5,Front Wheel Drive,C,5,"£33,055",205 mi,287 Wh/mi,"1,785 kg",7.6 sec,217 mi,58.9 kWh,80 kW,0 kg,380 L,£161 /mi
Nissan,LEAF Extended Range 75 kWh(MY26),Front Wheel Drive,C,5,"£32,249",280 mi,268 Wh/mi,"1,981 kg",7.6 sec,301 mi,75.0 kWh,100 kW,975 kg,437 L,£115 /mi
Kia,e-Niro 64 kWh,Front Wheel Drive,C,5,"£34,995",230 mi,278 Wh/mi,"1,812 kg",7.8 sec,217 mi,64.0 kWh,64 kW,300 kg,451 L,£152 /mi
BMW,iX3(MY22-24),Rear Wheel Drive,D,5,"£64,165",240 mi,308 Wh/mi,"2,255 kg",6.8 sec,255 mi,74.0 kWh,104 kW,750 kg,510 L,£267 /mi
MG,MG5 EV Long Range,Front Wheel Drive,C,5,"£30,995",205 mi,280 Wh/mi,"1,637 kg",7.7 sec,202 mi,57.4 kWh,60 kW,500 kg,479 L,£151 /mi
BYD,SEAL 82.5 kWh RWD Design,Rear Wheel Drive,D,5,"£45,695",295 mi,280 Wh/mi,"2,130 kg",5.9 sec,315 mi,82.5 kWh,100 kW,750 kg,453 L,£155 /mi
BMW,iX1 xDrive30,All Wheel Drive,C,5,"£47,465",235 mi,275 Wh/mi,"2,085 kg",5.6 sec,253 mi,64.7 kWh,93 kW,"1,200 kg",490 L,£202 /mi
Kia,EV4 Hatchback 81.4 kWh,Front Wheel Drive,C,5,"£37,695",295 mi,264 Wh/mi,"1,890 kg",7.7 sec,309 mi,78.0 kWh,105 kW,"1,000 kg",435 L,£128 /mi
Polestar,4 Long Range Dual Motor,All Wheel Drive,E,5,"£66,990",300 mi,313 Wh/mi,"2,430 kg",3.8 sec,326 mi,94.0 kWh,135 kW,"2,000 kg",541 L,£223 /mi
Škoda,Elroq 60(MY25),Rear Wheel Drive,C,5,"£32,060",215 mi,274 Wh/mi,"1,975 kg",8.5 sec,252 mi,59.0 kWh,110 kW,"1,000 kg",470 L,£149 /mi
Renault,Zoe ZE50 R135,Front Wheel Drive,B,5,"£29,995",190 mi,274 Wh/mi,"1,577 kg",9.5 sec,168 mi,52.0 kWh,41 kW,0 kg,338 L,£158 /mi
BYD,DOLPHIN SURF 43.2 kWh Boost,Front Wheel Drive,B,4,"£21,950",165 mi,262 Wh/mi,"1,445 kg",12.1 sec,176 mi,43.2 kWh,60 kW,0 kg,308 L,£133 /mi
Audi,Q4 e-tron 45,Rear Wheel Drive,C,5,"£51,310",260 mi,296 Wh/mi,"2,145 kg",6.7 sec,286 mi,77.0 kWh,120 kW,"1,000 kg",520 L,£197 /mi
Ford,Explorer Extended Range RWD,Rear Wheel Drive,C,5,"£45,875",270 mi,285 Wh/mi,"2,090 kg",6.4 sec,281 mi,77.0 kWh,120 kW,"1,000 kg",536 L,£170 /mi
Volvo,EX30 Single Motor ER(MY24-26),Rear Wheel Drive,B,5,"£37,260",225 mi,289 Wh/mi,"1,850 kg",5.3 sec,255 mi,65.0 kWh,114 kW,"1,600 kg",325 L,£166 /mi
Hyundai,IONIQ Electric,Front Wheel Drive,C,5,"£32,050",155 mi,247 Wh/mi,"1,602 kg",9.7 sec,143 mi,38.3 kWh,36 kW,0 kg,357 L,£207 /mi
Mercedes-Benz,EQB 250+,Front Wheel Drive,C,7,"£52,800",260 mi,271 Wh/mi,"2,105 kg",8.9 sec,257 mi,70.5 kWh,90 kW,"1,400 kg",495 L,£203 /mi
BMW,iX1 eDrive20,Front Wheel Drive,C,5,"£45,465",240 mi,270 Wh/mi,"1,940 kg",8.3 sec,260 mi,64.7 kWh,93 kW,750 kg,490 L,£189 /mi
Tesla,Model Y Long Range RWD,Rear Wheel Drive,D,5,"£46,990",280 mi,268 Wh/mi,"1,959 kg",5.9 sec,332 mi,75.0 kWh,124 kW,"1,600 kg",971 L,£168 /mi
Audi,e-tron 55 quattro,All Wheel Drive,E,5,"£72,935",225 mi,384 Wh/mi,"2,565 kg",5.7 sec,239 mi,86.5 kWh,146 kW,"1,800 kg",660 L,£324 /mi
MG,IM6 Long Range,Rear Wheel Drive,D,5,"£47,995",310 mi,311 Wh/mi,"2,320 kg",5.4 sec,391 mi,96.5 kWh,250 kW,unknown,697 L,£155 /mi
Mercedes-Benz,EQS 450+,Rear Wheel Drive,F,5,"£112,610",425 mi,278 Wh/mi,"2,545 kg",6.2 sec,454 mi,118.0 kWh,160 kW,750 kg,620 L,£265 /mi
Hyundai,INSTER Long Range,Front Wheel Drive,A,4,"£25,045",185 mi,249 Wh/mi,"1,410 kg",10.6 sec,193 mi,46.0 kWh,70 kW,unknown,351 L,£135 /mi
Tesla,Model 3 Long Range AWD(Highland),All Wheel Drive,D,5,"£49,990",325 mi,231 Wh/mi,"1,899 kg",4.4 sec,391 mi,75.0 kWh,124 kW,"1,000 kg",682 L,£154 /mi
Mercedes-Benz,GLC 400 4MATIC,All Wheel Drive,D,5,"£65,000",310 mi,303 Wh/mi,"2,535 kg",4.3 sec,377 mi,94.0 kWh,190 kW,"2,400 kg",698 L,£210 /mi
Renault,Scenic E-Tech 220hp Long Range,Front Wheel Drive,C,5,"£40,995",300 mi,290 Wh/mi,"1,917 kg",7.9 sec,299 mi,87.0 kWh,95 kW,"1,100 kg",545 L,£137 /mi
BMW,i4 eDrive40,Rear Wheel Drive,D,5,"£59,365",320 mi,254 Wh/mi,"2,125 kg",5.6 sec,366 mi,81.3 kWh,131 kW,"1,600 kg",470 L,£186 /mi
BMW,iX xDrive 40,All Wheel Drive,E,5,"£69,905",220 mi,323 Wh/mi,"2,440 kg",6.1 sec,241 mi,71.0 kWh,102 kW,"2,500 kg",500 L,£318 /mi
Volvo,EX30 Single Motor(MY24-26),Rear Wheel Drive,B,5,"£33,060",170 mi,288 Wh/mi,"1,840 kg",5.7 sec,190 mi,49.0 kWh,80 kW,"1,000 kg",325 L,£194 /mi
Hyundai,IONIQ 5 84 kWh RWD(MY24),Rear Wheel Drive,C,5,"£43,400",280 mi,286 Wh/mi,"2,060 kg",7.5 sec,348 mi,80.0 kWh,205 kW,"1,600 kg",577 L,£155 /mi
Tesla,Model 3 Long Range AWD,All Wheel Drive,D,5,"£49,990",290 mi,248 Wh/mi,"1,919 kg",4.4 sec,332 mi,72.0 kWh,108 kW,"1,000 kg",649 L,£172 /mi
Toyota,bZ4X FWD(MY22-24),Front Wheel Drive,C,5,"£36,995",215 mi,298 Wh/mi,"1,970 kg",7.5 sec,239 mi,64.0 kWh,100 kW,750 kg,452 L,£172 /mi
Dacia,Spring Electric 45,Front Wheel Drive,A,4,"£14,995",100 mi,250 Wh/mi,"1,009 kg",19.1 sec,94 mi,25.0 kWh,29 kW,0 kg,343 L,£150 /mi
BMW,i3 120 Ah,Rear Wheel Drive,B,4,"£33,805",145 mi,261 Wh/mi,"1,345 kg",7.3 sec,138 mi,37.9 kWh,47 kW,0 kg,260 L,£233 /mi
Volkswagen,ID.7 Pro S(MY26),Rear Wheel Drive,E,5,"£54,490",325 mi,265 Wh/mi,"2,226 kg",6.6 sec,373 mi,86.0 kWh,145 kW,"1,000 kg",532 L,£168 /mi
BYD,ATTO 3(MY23-24),Front Wheel Drive,C,5,"£37,195",205 mi,295 Wh/mi,"1,825 kg",7.3 sec,202 mi,60.5 kWh,71 kW,0 kg,440 L,£181 /mi
BYD,SEALION 7 91.3 kWh AWD Excellence,All Wheel Drive,D,5,"£58,990",270 mi,338 Wh/mi,"2,510 kg",4.5 sec,312 mi,91.3 kWh,165 kW,"1,500 kg",578 L,£218 /mi
Renault,Megane E-Tech EV60 220hp(TU2025),Front Wheel Drive,C,5,"£30,995",235 mi,255 Wh/mi,"1,719 kg",7.4 sec,255 mi,60.0 kWh,87 kW,900 kg,440 L,£132 /mi
Tesla,Model 3 Standard Range Plus,Rear Wheel Drive,D,5,"£40,490",195 mi,251 Wh/mi,"1,684 kg",5.6 sec,242 mi,49.0 kWh,105 kW,"1,000 kg",542 L,£208 /mi
BMW,i4 eDrive40,Rear Wheel Drive,D,5,"£57,890",320 mi,252 Wh/mi,"2,125 kg",5.7 sec,363 mi,80.7 kWh,131 kW,"1,600 kg",470 L,£181 /mi
Tesla,Model Y Performance(Juniper),All Wheel Drive,D,5,"£61,990",285 mi,277 Wh/mi,"2,108 kg",3.8 sec,332 mi,79.0 kWh,120 kW,"1,600 kg",971 L,£218 /mi
Tesla,Model 3 RWD(Highland CATL LFP60),Rear Wheel Drive,D,5,"£39,990",260 mi,219 Wh/mi,"1,836 kg",6.1 sec,308 mi,57.0 kWh,108 kW,"1,000 kg",682 L,£154 /mi
Volkswagen,e-Golf,Front Wheel Drive,C,5,"£28,075",115 mi,278 Wh/mi,"1,615 kg",9.6 sec,111 mi,32.0 kWh,39 kW,0 kg,341 L,£244 /mi
Leapmotor,B10 67.1 kWh,Rear Wheel Drive,C,5,"£31,495",220 mi,295 Wh/mi,"1,920 kg",8.0 sec,250 mi,65.0 kWh,110 kW,750 kg,430 L,£143 /mi
Renault,5 E-Tech 40kWh 120hp,Front Wheel Drive,B,5,"£21,495",160 mi,250 Wh/mi,"1,447 kg",9.0 sec,167 mi,40.0 kWh,55 kW,500 kg,326 L,£134 /mi
Kia,EV6 Long Range 2WD,Rear Wheel Drive,C,5,"£45,245",255 mi,290 Wh/mi,"1,985 kg",7.3 sec,319 mi,74.0 kWh,200 kW,"1,600 kg",532 L,£177 /mi
Nissan,Ariya 87kWh,Front Wheel Drive,C,5,"£35,500",280 mi,311 Wh/mi,"2,121 kg",7.6 sec,277 mi,87.0 kWh,110 kW,750 kg,468 L,£127 /mi
Porsche,Macan 4 Electric(MY24-25),All Wheel Drive,D,5,"£69,800",295 mi,322 Wh/mi,"2,405 kg",5.2 sec,350 mi,95.0 kWh,200 kW,"2,000 kg",624 L,£237 /mi
Audi,A6 Avant e-tron performance,Rear Wheel Drive,E,5,"£71,740",360 mi,264 Wh/mi,"2,260 kg",5.4 sec,434 mi,94.9 kWh,200 kW,"2,100 kg",529 L,£199 /mi
Audi,A6 Sportback e-tron performance,Rear Wheel Drive,E,5,"£69,940",370 mi,256 Wh/mi,"2,250 kg",5.4 sec,454 mi,94.9 kWh,200 kW,"2,100 kg",529 L,£189 /mi
Mercedes-Benz,EQC 400 4MATIC,All Wheel Drive,D,5,"£74,330",230 mi,348 Wh/mi,"2,495 kg",5.1 sec,227 mi,80.0 kWh,100 kW,"1,800 kg",500 L,£323 /mi
Tesla,Model 3 Long Range AWD,All Wheel Drive,D,5,"£50,990",300 mi,250 Wh/mi,"1,919 kg",4.4 sec,359 mi,75.0 kWh,124 kW,"1,000 kg",649 L,£170 /mi
MG,MGS5 EV Standard Range,Rear Wheel Drive,C,5,"£28,495",170 mi,277 Wh/mi,"1,710 kg",8.0 sec,192 mi,47.1 kWh,80 kW,750 kg,453 L,£168 /mi
Leapmotor,T03,Front Wheel Drive,A,4,"£14,495",140 mi,257 Wh/mi,"1,250 kg",12.7 sec,132 mi,36.0 kWh,30 kW,unknown,210 L,£104 /mi
CUPRA,Tavascan Endurance,Rear Wheel Drive,C,5,"£47,340",275 mi,280 Wh/mi,"2,178 kg",6.8 sec,290 mi,77.0 kWh,120 kW,"1,000 kg",540 L,£172 /mi
Tesla,Model Y Long Range AWD Launch Series(Juniper),All Wheel Drive,D,5,"£60,990",280 mi,268 Wh/mi,"2,072 kg",4.3 sec,332 mi,75.0 kWh,124 kW,"1,600 kg",971 L,£218 /mi
Peugeot,e-3008 73 kWh,Front Wheel Drive,C,5,"£45,960",235 mi,311 Wh/mi,"2,183 kg",8.8 sec,247 mi,73.0 kWh,90 kW,"1,250 kg",588 L,£196 /mi
Mercedes-Benz,CLA 350 4MATIC,All Wheel Drive,D,5,"£54,000 *",355 mi,239 Wh/mi,"2,135 kg",4.9 sec,464 mi,85.0 kWh,235 kW,"1,800 kg",506 L,£152 /mi
Hyundai,IONIQ 6 Long Range 2WD,Rear Wheel Drive,D,5,"£47,040",305 mi,243 Wh/mi,"1,985 kg",7.4 sec,396 mi,74.0 kWh,200 kW,"1,500 kg",446 L,£154 /mi
MG,IM5 Performance,All Wheel Drive,D,5,"£48,495",300 mi,322 Wh/mi,"2,298 kg",3.2 sec,386 mi,96.5 kWh,250 kW,unknown,475 L,£162 /mi
Volvo,EX30 Twin Motor Performance(MY24-26),All Wheel Drive,B,5,"£42,360",210 mi,310 Wh/mi,"1,960 kg",3.6 sec,239 mi,65.0 kWh,114 kW,"1,600 kg",325 L,£202 /mi
Peugeot,e-5008 97 kWh Long Range,Front Wheel Drive,D,7,"£51,360",300 mi,323 Wh/mi,"2,316 kg",9.6 sec,308 mi,96.9 kWh,135 kW,"1,000 kg",348 L,£171 /mi
Polestar,4 Long Range Single Motor,Rear Wheel Drive,E,5,"£59,990",305 mi,308 Wh/mi,"2,305 kg",7.4 sec,331 mi,94.0 kWh,135 kW,"1,500 kg",541 L,£197 /mi
Peugeot,e-5008 73 kWh,Front Wheel Drive,D,7,"£48,660",230 mi,317 Wh/mi,"2,260 kg",9.7 sec,241 mi,73.0 kWh,90 kW,"1,000 kg",348 L,£212 /mi
BYD,ATTO 3(MY25),Front Wheel Drive,C,5,"£37,705",210 mi,288 Wh/mi,"1,825 kg",7.3 sec,216 mi,60.5 kWh,75 kW,750 kg,440 L,£180 /mi
Renault,Megane E-Tech EV60 220hp,Front Wheel Drive,C,5,"£37,995",235 mi,255 Wh/mi,"1,711 kg",7.4 sec,255 mi,60.0 kWh,87 kW,900 kg,440 L,£162 /mi
Volkswagen,ID.7 Pro(MY24-25),Rear Wheel Drive,E,5,"£51,550",295 mi,261 Wh/mi,"2,172 kg",6.5 sec,336 mi,77.0 kWh,125 kW,"1,000 kg",532 L,£175 /mi
Volkswagen,ID.3 Pure(MY24-26),Rear Wheel Drive,C,5,"£29,360",205 mi,254 Wh/mi,"1,787 kg",8.2 sec,234 mi,52.0 kWh,90 kW,0 kg,385 L,£143 /mi
Polestar,2 Long Range Single Motor,Front Wheel Drive,D,5,"£46,450",260 mi,288 Wh/mi,"2,069 kg",7.4 sec,280 mi,75.0 kWh,108 kW,"1,500 kg",440 L,£179 /mi
Ford,Capri Extended Range RWD,Rear Wheel Drive,D,5,"£48,075",285 mi,270 Wh/mi,"2,098 kg",6.4 sec,296 mi,77.0 kWh,120 kW,"1,000 kg",572 L,£169 /mi
Polestar,2 Long Range Single Motor(MY26),Rear Wheel Drive,D,5,"£49,160",295 mi,268 Wh/mi,"2,084 kg",6.2 sec,331 mi,79.0 kWh,125 kW,"1,500 kg",448 L,£167 /mi
Geely,EX5,Front Wheel Drive,C,5,"£31,990",205 mi,294 Wh/mi,"1,815 kg",6.9 sec,227 mi,60.2 kWh,95 kW,0 kg,461 L,£156 /mi
Hyundai,IONIQ 6 Long Range AWD,All Wheel Drive,D,5,"£50,540",275 mi,269 Wh/mi,"2,095 kg",5.1 sec,353 mi,74.0 kWh,200 kW,"1,500 kg",416 L,£184 /mi
Kia,EV6 RWD,Rear Wheel Drive,C,5,"£45,585",280 mi,286 Wh/mi,"2,050 kg",7.3 sec,351 mi,80.0 kWh,205 kW,"1,800 kg",542 L,£163 /mi
Hyundai,IONIQ 5 N(MY24),All Wheel Drive,C,5,"£65,000",240 mi,333 Wh/mi,"2,225 kg",3.4 sec,300 mi,80.0 kWh,205 kW,0 kg,480 L,£271 /mi
BMW,i4 eDrive40,Rear Wheel Drive,D,5,"£59,465",325 mi,250 Wh/mi,"2,120 kg",5.6 sec,370 mi,81.3 kWh,130 kW,"1,600 kg",470 L,£183 /mi
Hyundai,IONIQ 5 Long Range AWD(MY22),All Wheel Drive,C,5,"£50,445",235 mi,315 Wh/mi,"2,120 kg",5.1 sec,301 mi,74.0 kWh,200 kW,"1,600 kg",551 L,£215 /mi
Volkswagen,ID.3 Pro S(MY26),Rear Wheel Drive,C,5,"£35,495",295 mi,268 Wh/mi,"1,957 kg",7.1 sec,333 mi,79.0 kWh,135 kW,0 kg,385 L,£120 /mi
Tesla,Model 3 Standard Range Plus(PANA 2170L),Rear Wheel Drive,D,5,"£40,990",215 mi,237 Wh/mi,"1,700 kg",5.6 sec,262 mi,51.0 kWh,105 kW,"1,000 kg",649 L,£191 /mi
Volkswagen,ID.4 Pro(MY24-25),Rear Wheel Drive,C,5,"£46,035",275 mi,280 Wh/mi,"2,144 kg",6.7 sec,304 mi,77.0 kWh,120 kW,"1,000 kg",543 L,£167 /mi
XPENG,G6 RWD Long Range(MY24),Rear Wheel Drive,D,5,"£44,990",300 mi,292 Wh/mi,"2,100 kg",6.7 sec,357 mi,87.5 kWh,180 kW,"1,500 kg",571 L,£150 /mi
Audi,Q4 e-tron 40,Rear Wheel Drive,C,5,"£50,630",250 mi,306 Wh/mi,"2,125 kg",8.5 sec,267 mi,76.6 kWh,125 kW,"1,000 kg",520 L,£203 /mi
Dacia,Spring Electric 65,Front Wheel Drive,A,4,"£15,995",100 mi,250 Wh/mi,"1,032 kg",13.7 sec,93 mi,25.0 kWh,29 kW,0 kg,343 L,£160 /mi
BYD,DOLPHIN SURF 43.2 kWh Comfort,Front Wheel Drive,B,4,"£23,950",165 mi,262 Wh/mi,"1,465 kg",9.1 sec,171 mi,43.2 kWh,60 kW,0 kg,308 L,£145 /mi
Tesla,Model 3 Long Range AWD,All Wheel Drive,D,5,"£46,990",285 mi,258 Wh/mi,"1,931 kg",4.6 sec,348 mi,73.5 kWh,163 kW,"1,000 kg",542 L,£165 /mi
Polestar,2 Long Range Performance(MY24),All Wheel Drive,D,5,"£57,950",280 mi,282 Wh/mi,"2,180 kg",4.2 sec,315 mi,79.0 kWh,125 kW,"1,500 kg",446 L,£207 /mi
Tesla,Model 3 Performance(Highland),All Wheel Drive,D,5,"£59,990",305 mi,246 Wh/mi,"1,929 kg",3.4 sec,364 mi,75.0 kWh,124 kW,0 kg,682 L,£197 /mi
Vauxhall,Frontera Electric 54 kWh,Front Wheel Drive,B,5,"£25,995",180 mi,297 Wh/mi,"1,610 kg",13.0 sec,185 mi,53.5 kWh,70 kW,550 kg,460 L,£144 /mi
Renault,Zoe ZE50 R110,Front Wheel Drive,B,5,"£29,095",195 mi,267 Wh/mi,"1,577 kg",11.4 sec,170 mi,52.0 kWh,41 kW,0 kg,338 L,£149 /mi
Mini,Cooper SE,Front Wheel Drive,B,4,"£34,500",205 mi,240 Wh/mi,"1,680 kg",6.7 sec,221 mi,49.2 kWh,75 kW,0 kg,200 L,£168 /mi
Nissan,Ariya 63kWh,Front Wheel Drive,C,5,"£33,500",205 mi,307 Wh/mi,"1,980 kg",7.5 sec,218 mi,63.0 kWh,90 kW,750 kg,468 L,£163 /mi
Tesla,Model 3 Performance,All Wheel Drive,D,5,"£57,990",285 mi,263 Wh/mi,"1,919 kg",3.6 sec,337 mi,75.0 kWh,124 kW,0 kg,649 L,£203 /mi
Mini,Countryman SE ALL4,All Wheel Drive,C,5,"£45,680",225 mi,287 Wh/mi,"2,075 kg",5.6 sec,242 mi,64.6 kWh,93 kW,"1,200 kg",460 L,£203 /mi
Ford,Explorer Extended Range AWD,All Wheel Drive,C,5,"£53,975",275 mi,287 Wh/mi,"2,167 kg",5.3 sec,306 mi,79.0 kWh,135 kW,"1,200 kg",536 L,£196 /mi
Honda,e:Ny1,Front Wheel Drive,B,5,"£39,995",210 mi,295 Wh/mi,"1,730 kg",7.6 sec,198 mi,61.9 kWh,60 kW,0 kg,361 L,£190 /mi
Renault,Twingo E-Tech 27.5 kWh,Front Wheel Drive,A,5,"£18,000 *",115 mi,239 Wh/mi,"1,200 kg",12.1 sec,120 mi,27.5 kWh,40 kW,0 kg,360 L,£157 /mi
Jaguar,I-Pace EV400,All Wheel Drive,D,5,"£69,995",235 mi,360 Wh/mi,"2,226 kg",4.8 sec,220 mi,84.7 kWh,85 kW,750 kg,532 L,£298 /mi
CUPRA,Born 79 kWh e-Boost,Rear Wheel Drive,C,5,"£35,495",290 mi,272 Wh/mi,"1,977 kg",7.1 sec,327 mi,79.0 kWh,135 kW,0 kg,385 L,£122 /mi
Mini,Countryman E,Front Wheel Drive,C,5,"£40,580",235 mi,275 Wh/mi,"1,940 kg",8.6 sec,252 mi,64.6 kWh,93 kW,750 kg,460 L,£173 /mi
Škoda,Enyaq iV 80(MY21-23),Rear Wheel Drive,C,5,"£42,925",270 mi,285 Wh/mi,"2,075 kg",8.6 sec,291 mi,77.0 kWh,125 kW,"1,000 kg",585 L,£159 /mi
Volvo,XC40 Recharge Twin Motor(MY24),All Wheel Drive,C,5,"£51,755",235 mi,336 Wh/mi,"2,170 kg",4.8 sec,260 mi,79.0 kWh,125 kW,"1,800 kg",441 L,£220 /mi
Tesla,Model 3 Long Range RWD,Rear Wheel Drive,D,5,"£46,990",305 mi,246 Wh/mi,"1,825 kg",5.9 sec,364 mi,75.0 kWh,124 kW,"1,000 kg",649 L,£154 /mi
